timestamp,experiment_id,tag,model,fold,cleaning,nlp_method,embedding,epochs,batch_size,train_time_sec,f1_macro,recall_neg,precision_pos,notes
2025-11-17T05:10:32.943397+00:00,C03,C03_SRN_LONG_20251117-000909,simple_rnn,2,lemmatize,keras_tokenizer,learned,30,128,50.517937839002116,0.18778833215893787,0.8269662921348314,0.7330275229357798,lemmatize_30ep_lr5e-4_m1p2
2025-11-17T05:11:28.578909+00:00,C03,C03_SRN_LONG_20251117-000909,simple_rnn,3,lemmatize,keras_tokenizer,learned,30,128,60.40191750200029,0.3240867410758304,0.349438202247191,0.7530238002341006,lemmatize_30ep_lr5e-4_m1p2
2025-11-17T05:32:00.414577+00:00,C01,C01_LSTM_LONG_20251117-001258,lstm,1,baseline,keras_tokenizer,learned,20,128,1239.2537884340018,0.31798564153493186,0.06172839506172839,0.7348688634835239,lstm_fold1_lr5e-4_w1p2
2025-11-17T05:43:53.967059+00:00,C01,C01_SRN_LONG_20251117-004240,simple_rnn,1,baseline,keras_tokenizer,learned,30,128,71.48880266500055,0.38248741237056966,0.5252525252525253,0.7779700115340253,baseline_lr5e-4_w1p2
2025-11-17T05:44:34.351140+00:00,C01,C01_SRN_LONG_20251117-004240,simple_rnn,2,baseline,keras_tokenizer,learned,30,128,43.3283264779966,0.2380735881245699,0.6685393258426966,0.7333333333333333,baseline_lr5e-4_w1p2
2025-11-17T05:45:37.707007+00:00,C01,C01_SRN_LONG_20251117-004240,simple_rnn,3,baseline,keras_tokenizer,learned,30,128,69.02045133000502,0.3426023454860081,0.3955056179775281,0.7448814655172413,baseline_lr5e-4_w1p2
2025-11-17T05:50:29.771451+00:00,C05,C05_SRN_LONG_20251117-004943,simple_rnn,1,stem,keras_tokenizer,learned,30,128,45.15926619700622,0.19617982032468784,0.8125701459034792,0.747907949790795,stem_lr5e-4_w1p2
2025-11-17T05:51:03.421365+00:00,C05,C05_SRN_LONG_20251117-004943,simple_rnn,2,stem,keras_tokenizer,learned,30,128,36.45121626999753,0.3265036418446972,0.26741573033707866,0.7423954372623575,stem_lr5e-4_w1p2
2025-11-17T05:51:32.000087+00:00,C05,C05_SRN_LONG_20251117-004943,simple_rnn,3,stem,keras_tokenizer,learned,30,128,30.869704203003494,0.24359598069510294,0.5842696629213483,0.7351598173515982,stem_lr5e-4_w1p2
2025-11-17T11:20:38.052373+00:00,C07,C07_SRN_LONG_20251117-061925,simple_rnn,1,baseline,keras_tokenizer,learned,30,128,71.09471762600151,0.09207803458035237,0.957351290684624,0.5242718446601942,baseline_maxlen384_lr5e-4_w1p2
2025-11-17T11:21:13.501634+00:00,C07,C07_SRN_LONG_20251117-061925,simple_rnn,2,baseline,keras_tokenizer,learned,30,128,38.05882161900081,0.20035255254249798,0.7146067415730337,0.7347266881028939,baseline_maxlen384_lr5e-4_w1p2
2025-11-17T11:22:14.549958+00:00,C07,C07_SRN_LONG_20251117-061925,simple_rnn,3,baseline,keras_tokenizer,learned,30,128,66.20296601500013,0.3150165798246472,0.1842696629213483,0.7318592964824121,baseline_maxlen384_lr5e-4_w1p2
2025-11-17T11:43:03.454474+00:00,C01,C01_LSTM_LONG_20251117-062630,lstm,1,baseline,keras_tokenizer,learned,30,128,1072.339303241999,0.08547992516908907,1.0,0.0,LSTM baseline lr5e-4 w1p2
2025-11-17T11:59:41.131722+00:00,C01,C01_LSTM_LONG_20251117-062630,lstm,2,baseline,keras_tokenizer,learned,30,128,1083.9195607239963,0.31918593311006255,0.06292134831460675,0.7350125944584383,LSTM baseline lr5e-4 w1p2
2025-11-17T12:22:40.833233+00:00,C01,C01_LSTM_LONG_20251117-062630,lstm,3,baseline,keras_tokenizer,learned,30,128,1504.6301400789962,0.32170329570481865,0.0651685393258427,0.7351060249074386,LSTM baseline lr5e-4 w1p2
